word	frequency
köhnə	54
bir-bir	54
tanrı	54
dərvişin	54
razılıq	54
yuxuya	54
harda	54
kor	54
çörəyi	54
gələ	54
yapışıb	54
daşın	54
xanımdan	54
qərəz	54
eləmək	54
süd	54
bilirdi	54
heyvanlar	54
cüt	54
qazının	54
yetirib	53
başlayır	53
səsi	53
atına	53
çağırtdırıb	53
işdən	53
göndərib	53
vilayətinə	53
ayağını	53
sizi	53
edə	53
dağa	53
cəhənnəmə	53
edirdi	53
cibinə	53
rum	53
nökər	53
əmim	53
ərcuna	53
qorxudan	52
çək	52
çobana	52
aldılar	52
demək	52
ləli	52
qorxusundan	52
getməkdə	52
çıxmadı	52
özümə	52
zindana	52
alım	52
keçəli	52
vaxtdan	52
dilə	52
etmək	51
elədim	51
gətirə	51
qalır	51
pərilər	51
atlı	51
gəlmişdi	51
özündən	51
vermədi	51
yaşayırdı	51
əlac	51
yaxşılıq	51
bağda	51
ərə	51
pis	50
döydü	50
yığdı	50
çıxmışdı	50
tümən	50
kimə	50
olsunlar	50
atamın	50
uşağın	50
qarıya	50
qalan	50
barmağını	50
yanıma	50
ötrü	50
bəhrəm	50
ac	49
özümü	49
çoxdan	49
yaxınlaşıb	49
as	49
qardaşın	49
üçü	49
oğlun	49
verə	49
dəli	49
hücum	49
qaçmağa	49
birinə	49
uzaq	49
can	49
adında	49
ayağına	49
verərsən	49
tərəfinə	49
dalında	49
qurban	49
yıxıldı	49
pəhlivan	49
əri	49
rizvan	49
nisə	49
mələkəxatın	49
surxay	49
ye	48
üstünü	48
saxla	48
verin	48
şeyləri	48
dövlətli	48
əmələ	48
yolunu	48
etməyə	48
axşama	48
ağzından	48
yoldan	48
ağzında	48
bulud	48
almanı	48
padşahdan	48
alır	48
ölüb	48
dəryanın	48
yeyin	47
eləyirdi	47
məhəmmədə	47
səninlə	47
yalvardı	47
aparır	47
çarə	47
mənnən	47
verməyib	47
qəribə	47
üzük	47
vasil	47
gənə	47
keçir	47
gülab	47
həsən	47
təpəgöz	47
özləri	46
xoşuna	46
allahdan	46
eşidəndə	46
qayıtdılar	46
başıma	46
qabağa	46
gətirir	46
otur	46
qızımı	46
bağına	46
tuta	46
yuxuda	46
mərd	46
bir-iki	46
çəkir	46
qoşunun	46
eləyim	46
ürəyində	46
ağlamağa	46
dəydi	46
nəyə	46
bilməzsən	46
adamların	46
endi	46
saraya	46
gülnar	46
firuz	46
pəridux	46
qal	45
gətirəsən	45
çıxanda	45
ortasında	45
şəhərinə	45
ağacının	45
bəy	45
çaya	45
gah	45
vırdı	45
ceyranı	45
devi	45
desən	45
açıq	45
çəkilib	45
könüldən	45
varsa	45
öpüb	45
etdilər	45
əyib	45
icazə	45
keçmiş	45
lələ	45
demədi	45
axır	45
qocanın	45
bulağın	45
göstərdi	45
tilsim	45
parça-parça	45
uşaqlar	45
görürsən	45
cəld	45
ayaq	45
hətta	45
rəmmal	45
qalaçanın	45
ölüm	45
fatma	45
xala	45
nuşaran	45
simanın	45
sgəndər	45
çekkaş	45
kinci	44
nətər	44
yaşında	44
birəz	44
eləmə	44
molla	44
əti	44
bağın	44
verəsən	44
öküz	44
söylə	44
südü	44
adamı	44
özlərini	44
xoşbəxt	44
kisə	44
öldürəcək	44
taxta	44
qıznan	44
üzün	44
əvvəlki	44
atdılar	44
yaxınlaşdı	44
abid	44
möhkəm	44
meşədən	44
abas	44
mıncıx	44
məstan	44
oxxay	44
şəmil	44
girəndə	43
acından	43
verdim	43
yalan	43
qurtara	43
yalnız	43
döndü	43
kef	43
kəsilib	43
tut	43
torpağına	43
əjdahanı	43
içdi	43
gedərəm	43
şam	43
vur	43
qurtarıb	43
xoruz	43
dost	43
olurdu	43
tulladı	43
iti	43
düçar	43
nurəddünya	43
keçini	42
yeyir	42
əldən	42
əvə	42
birin	42
buraya	42
özünün	42
güc	42
yazığı	42
aparım	42
çıxa	42
başdan	42
qorxdu	42
üzündən	42
ulu	42
getdim	42
eşqinə	42
tanrılar	42
iri	41
heyvan	41
varmış	41
qab	41
batdı	41
olmasın	41
sel	41
ağzı	41
əlli	41
çəkildi	41
şaha	41
qəzəblənib	41
səfərə	41
çıxım	41
olduğu	41
qayıdanda	41
yanından	41
