word	frequency
deyə	65
geyib	65
dənə	65
kənara	65
darğa	65
meşədə	65
əmir	65
öldü	64
yuxudan	64
sizin	64
eşitdi	64
tərəfdə	64
axı	64
fikirləşdi	64
ah	64
məəttəl	64
qəhrəman	64
gözlərini	64
qəmər	64
ağzını	63
məhəmmədi	63
daşa	63
səfər	63
qırmızı	63
mirzə	63
pirim	63
rüstəm	63
dəşküvar	63
qan	62
gətirin	62
yatdılar	62
ağıllı	62
adamın	62
suyu	62
bağbanın	62
bir-birinə	61
evi	61
verərəm	61
yaman	61
dayandı	61
olanda	61
devlər	61
qılıncını	61
meydana	61
qalaçaya	61
qul	61
çıxan	60
evin	60
elçi	60
saldılar	60
qırıb	60
çıx	60
barxudar	60
gəldim	60
kimdi	60
anasının	60
güllü	60
qapıdan	59
qalsın	59
baba	59
altı	59
lazımdı	59
məhəmmədin	59
gəlmişəm	59
divin	59
gəzməyə	59
atasına	59
şəhərdən	59
adama	59
arvadına	59
olum	59
hərəsi	59
sözləri	59
boynuna	59
ayılıb	59
simurq	59
irəli	58
eləsin	58
dəyirman	58
vəkil	58
atan	58
deyərsən	58
ordan	58
üstündən	57
demə	57
tapdı	57
adamdı	57
qalmışdı	57
tökdü	57
əmisi	57
əlacı	57
yemək	57
yerini	57
qaranlıq	57
it	57
sandığı	57
zümrüd	57
yekə	56
zaman	56
deyirdi	56
gözünə	56
armud	56
dibinə	56
işıq	56
deyin	56
bilir	56
gözünü	56
gözlədi	56
birinci	56
divlər	56
olmuşdu	56
oxudu	56
bilməyib	56
qardaşları	56
uşax	56
zərğova	56
aradan	55
gedəcəyəm	55
yeməyə	55
adlı	55
qurtardı	55
göyərçin	55
kömək	55
evdən	55
xanın	55
nar	55
sövdəgər	55
bayıra	54
quyudan	54
baxırdı	54
kəsdi	54
adını	54
dərvişin	54
quşun	54
qızdan	54
quyu	54
deyəsən	54
günün	54
xanımdan	54
otağına	54
qərəz	54
bağban	54
tək	53
şahın	53
vilayətinə	53
yuxu	53
yazıq	53
oturmuşdu	53
deyirəm	53
rum	53
əmim	53
saxladı	52
çağırtdırıb	52
bərabər	52
ləli	52
bilmirdi	52
qarını	52
gedə	52
gəzib	52
fikrə	52
yarı	52
keçəli	52
qapının	52
deyirlər	51
göydə	51
gətirsin	51
getməkdə	51
kimsən	51
alım	51
ayı	51
yetirib	50
başlayır	50
salamat	50
bilirsən	50
ova	50
tümən	50
pərilər	50
gözdən	50
bilmərəm	50
dediyi	50
yoxdur	50
əmi	50
aman	50
gəlmədi	50
bəhrəm	50
qanad	49
tapşırdı	49
ikinci	49
işdən	49
atamın	49
getmişdi	49
artıq	49
görürəm	49
qaldılar	49
gəlmisən	49
gecənin	49
yıxılıb	49
yaxşılıq	49
pəhlivan	49
daxil	49
cibinə	49
rizvan	49
nisə	49
dünyaya	49
mələkəxatın	49
surxay	49
bunlara	48
çək	48
atına	48
bacısı	48
insan	48
dolandı	48
razılıq	48
yaxın	48
əlac	48
zindana	48
cəhənnəmə	48
padşahdan	48
dəryanın	48
deyən	47
dəvə	47
eləyirdi	47
qalır	47
üçü	47
çıxmışdı	47
od	47
qapıya	47
məhəmmədə	47
uşağın	47
olmasa	47
verərsən	47
pulu	47
süd	47
mənnən	47
qəşəng	47
almanı	47
gənə	47
gülab	47
həsən	47
öldürmək	46
gətirə	46
zalım	46
halda	46
oğlun	46
olsunlar	46
ayağı	46
dəmir	46
adında	46
yanıma	46
yapışdı	46
verməyib	46
altından	46
ət	46
cüt	46
gülnar	46
qazının	46
firuz	46
pəridux	46
təpəgöz	46
gətirəsən	45
elədim	45
bir-bir	45
bəy	45
vırdı	45
ceyranı	45
devi	45
öpüb	45
hücum	45
lələ	45
deyiləm	45
barmağını	45
tilsim	45
gedən	45
qızları	45
rəmmal	45
qalaçanın	45
fatma	45
nuşaran	45
simanın	45
sgəndər	45
çekkaş	45
nətər	44
köhnə	44
şəhərinə	44
birəz	44
gətirir	44
anasına	44
şeyləri	44
gələcək	44
çəkilib	44
bilirəm	44
olduğunu	44
oxu	44
göndərib	44
çörəyi	44
pişik	44
bir-iki	44
bilmədilər	44
ağzından	44
gəlirdi	44
arvadının	44
şəhəri	44
çarə	44
qıznan	44
üzün	44
bulud	44
abid	44
abas	44
mıncıx	44
nökər	44
məstan	44
oxxay	44
şəmil	44
qal	43
şirin	43
sahibi	43
bağın	43
kimə	43
atlı	43
harda	43
yuxuda	43
qorxusundan	43
torpağına	43
bulağın	43
yapışıb	43
daşın	43
öldürəcək	43
tərəfinə	43
dalında	43
qurban	43
salam	43
üzük	43
vasil	43
xalça	43
nurəddünya	43
axtarmağa	42
yeyin	42
özümü	42
yaşında	42
əvə	42
birin	42
südü	42
mərd	42
qarıya	42
birinə	42
kəsilib	42
dayanıb	42
qoşunun	42
ağzında	42
boyda	42
arasında	42
bağda	42
eşqinə	42
girəndə	41
balıq	41
verdim	41
döydü	41
başıma	41
qabağa	41
əməl	41
buraxdı	41
verirəm	41
bağına	41
azdan	41
kor	41
stədi	41
əvvəl	41
eləyim	41
çıxmadı	41
keçir	41
alır	41
bərkdən	40
mana	40
bilər	40
qızımı	40
varsa	40
söylə	40
buraya	40
izn	40
əyib	40
töküb	40
içindən	40
aparır	40
gedərəm	40
vermədi	40
gizləndi	40
eləyə	40
parça-parça	40
bilirdi	40
görünür	40
üzündən	40
xələt	40
düçar	40
qaf	40
sa	40
uzun	39
gəldin	39
keçini	39
olmasın	39
sel	39
eləmə	39
ceyranın	39
açıq	39
verəsən	39
dəli	39
ilanı	39
varıydı	39
can	39
gələ	39
çəkir	39
dəmdə	39
ürəyində	39
odun	39
təzə	39
bilərsən	39
sirr	39
özümə	39
ildi	39
şərtim	39
dərya	39
keçələ	39
gəlip	39
vay	39
papağı	39
getdim	39
ölüb	39
ortasında	38
qab	38
səsi	38
dağ	38
yaxınlaşıb	38
qardaşın	38
yığdı	38
çobana	38
desən	38
gülü	38
könüldən	38
otur	38
usta	38
qəzəblənib	38
görəcəksən	38
yolnan	38
məsləhət	38
demədi	38
axır	38
gətirmişəm	38
əjdahanın	38
dəryaya	38
tilsimə	38
başdan	38
yıxıldı	38
qızdı	38
şəkli	38
şeytan	38
dilə	38
dayandılar	37
ye	37
çıxanda	37
üstünü	37
allahdan	37
eşidib	37
verin	37
molla	37
əti	37
çatanda	37
arvadını	37
səfərə	37
yolunu	37
davam	37
öpdü	37
gəlmişdi	37
əhmədə	37
axşama	37
kimnən	37
sizi	37
içdi	37
içib	37
taxta	37
aparım	37
birinin	37
keçirdi	37
bikef	37
çağırır	37
yaxşısı	37
çıxa	37
nənəsi	37
geyindi	37
bıllar	37
xan-xani-çinin	37
gələni	36
belə-belə	36
daşının	36
camahat	36
sirrini	36
demək	36
tuta	36
gedəm	36
yalvardı	36
qalan	36
dağa	36
ayağına	36
özündən	36
möhlət	36
əlacsız	36
atdılar	36
qurtarıb	36
sıçrayıb	36
salır	36
canavar	36
fatmaxanım	36
nərgiz	36
skəndərin	36
özləri	35
eləyək	35
varmış	35
eşidəndə	35
ürəyim	35
hamam	35
sevindi	35
as	35
əlin	35
çəkildi	35
xanoğlan	35
yaşına	35
kənarında	35
qondu	35
qaçmağa	35
yuxuya	35
çəkmədi	35
atasını	35
əjdahanı	35
onunla	35
yoldan	35
kisə	35
taxtın	35
qatır	35
atları	35
ağlamağa	35
eləmək	35
sürüb	35
baxdılar	35
bına	35
əlimə	34
kinci	34
gizlin	34
hamama	34
girdilər	34
döndü	34
di	34
gözəli	34
ömür	34
sana	34
xəbərdar	34
basdı	34
ələ	34
güc	34
sürdü	34
hə	34
söyləyib	34
qocanın	34
gəlirlər	34
naxırçının	34
çay	34
kənarına	34
görürsən	34
bilməzsən	34
birində	34
görsün	34
arvat	34
əri	34
basıb	34
möhsün	34
yavaşca	34
havaya	34
qoçun	34
əlmərdan	34
üçbığ	34
əbülqasım	34
acığı	33
içdilər	33
almaq	33
dala	33
ağacının	33
gəzirdi	33
olasan	33
olacax	33
kef	33
aldılar	33
haradan	33
çağırtdırdı	33
çıxacaq	33
boynun	33
könülə	33
verə	33
məşğul	33
qopdu	33
varıymış	33
adamı	33
abbasın	33
cəllad	33
gecədən	33
ötrü	33
vur	33
yazdı	33
çıxsın	33
bıra	33
xoruz	33
fatı	33
çıraxlı	33
ac	32
pis	32
kişini	32
çoxdan	32
qızılları	32
otuz	32
qabaq	32
çaya	32
dövrə	32
əhli	32
oturdular	32
dərvişi	32
dərdi	32
düşmən	32
şirzad	32
şərt	32
icazə	32
çıxım	32
adına	32
öldürə	32
car	32
dərdini	32
gedər	32
öldür	32
eşiyə	32
şam	32
davaya	32
verən	32
yeyək	32
cəld	32
qıfıllandı	32
rahat	32
budur	32
söyləyir	32
sübh	32
muxtar	32
südəmən	32
çil	32
qoyur	31
dəstə	31
naxırçı	31
əldən	31
yağ	31
görüşüb	31
təəccüb	31
yarpağı	31
gəlsə	31
səninlə	31
namərd	31
özlərini	31
şeydi	31
qızından	31
belədi	31
yarısını	31
ağaca	31
istəsən	31
gözüm	31
tilsimdən	31
eləyirsən	31
oğlandı	31
bilməyəcək	31
uşaqlar	31
öldürsün	31
pərdənin	31
deyər	31
gedip	31
qapısını	31
meşədən	31
çəkdilər	31
simanı	31
acından	30
xoşuna	30
aldım	30
batdı	30
kor-peşman	30
qayıtdılar	30
dağı	30
aş	30
saxla	30
dövlət	30
dərman	30
gətirim	30
dükanına	30
bilib	30
qorxub	30
doldurub	30
yemə	30
qoymadı	30
qapısına	30
keçdilər	30
tut	30
yanından	30
verirdi	30
səhərə	30
atanın	30
hambal	30
tap	30
qazan	30
dərvişə	30
birisi	30
gözlə	30
nəyə	30
gedənnən	30
alıp	30
günorta	30
boş	30
yoldaş	30
ölüm	30
olun	30
görər	30
cümşüd	30
xan-xani-çin	30
çayın	29
doğru	29
ölü	29
kişiyə	29
alan	29
dərələrdən	29
mümkün	29
toyuq	29
gah	29
şeyi	29
incə	29
ayağını	29
quyuda	29
gözlərinə	29
yarısı	29
çatır	29
yudu	29
qılıncın	29
fürsəti	29
dəydi	29
ayağının	29
paho	29
adamların	29
tula	29
üzə	29
ayaq	29
dana	29
kərə	29
endi	29
cik-cik	29
ərə	29
skəndəri	29
ətini	28
gülüb	28
qorxudan	28
təpələrdən	28
ağzı	28
allahın	28
gözün	28
tərəfində	28
ədə	28
bilim	28
gəmi	28
şaha	28
qulağına	28
çağır	28
gedəsən	28
uçub	28
hind	28
otaq	28
nəbadə	28
günnən	28
düzünü	28
mağaraya	28
yoxudu	28
dar	28
tacirə	28
əvvəlki	28
əlinnən	28
uşaqları	28
oda	28
yesin	28
gülüstani-i	28
buyur	28
bağı	28
dizinin	28
ilanın	28
deyərəm	28
xahiş	28
meşənin	28
dostu	28
qapıda	28
düzül	28
kü	28
dəşküvarın	28
toppuzu	28
heyvan	27
yuyub	27
döyüb	27
göndərir	27
yeyir	27
aparın	27
anan	27
saxlayıb	27
yandan	27
ipi	27
əmələ	27
geydi	27
əl-üzünü	27
xülasə	27
hökm	27
izin	27
keçmiş	27
aya	27
tərkinə	27
çinar	27
çatan	27
qışqırdı	27
olarsan	27
ağacdan	27
göstərdi	27
xana	27
sevinə-sevinə	27
cənnət	27
pəhləvanı	27
rəml	27
ağlı	27
bıdı	27
vəkilin	27
dərə-təpə	27
əhvalatdan	27
tapım	27
arvadım	27
atların	27
darğanı	27
girən	27
kitabı	27
qurtarandan	27
cibindən	27
sakit	27
soyunub	27
bir-birinin	27
rəmə	27
loğman	27
simana	27
çimnaz	27
ayrılıb	26
yalan	26
keçəndə	26
uzaqdan	26
ərim	26
qala	26
gedəcək	26
qardaşım	26
canın	26
öldürəcəyəm	26
aşdı	26
gətirsinlər	26
daldan	26
itdi	26
gözəllikdə	26
ən	26
görmədi	26
dil	26
vəzirdən	26
qardaşının	26
yolladı	26
verək	26
duz	26
bulaq	26
banı	26
verər	26
ağır	26
oxşayır	26
yeriyib	26
özlərinə	26
rəşid	26
yetişdilər	26
qəribə	26
göndər	26
heyvanlar	26
şər	26
qoyunu	26
qayıdır	26
ağlaya-ağlaya	26
deyəcək	26
tulladı	26
gəzdi	26
haman	26
kəlmə	26
arxayın	26
doyunca	26
ölümdən	26
oldum	26
mədəd	26
həzrət	26
nardanxatun	26
əlimdən	25
bilmədim	25
dünyanın	25
atır	25
deyənin	25
bular	25
çəri	25
düzəldi	25
boğazına	25
demişdi	25
gümüş	25
onı	25
yetişdi	25
axvay	25
canım	25
həlak	25
ilin	25
bazarda	25
şahzadəyə	25
canını	25
oğlanlar	25
peyda	25
qayıdanda	25
yazığı	25
cin	25
olmur	25
uzaq	25
görmüşəm	25
tərəfi	25
daşını	25
devlərin	25
məclis	25
yaxşıdı	25
getmə	25
sal	25
öləndən	25
çin	25
hərə	25
istəmirəm	25
bağlı	25
arasına	25
əlindəki	25
çubuğu	25
gəlim	25
ikisini	25
gətirməyə	25
başdadılar	25
möhkəm	25
elədin	25
yumurta	25
quldurlar	25
meşə	25
qönçə	25
qurtara	24
görürlər	24
ötəri	24
nədir	24
gətirərsən	24
qabağından	24
birtəhər	24
soruşdular	24
başınnan	24
pəncərədən	24
keçin	24
divi	24
keçmişdi	24
bacımı	24
elərəm	24
çatıb	24
mal	24
qoç	24
barədə	24
vədə	24
yanır	24
tutdular	24
istəmədi	24
işim	24
başdan-ayağa	24
tük	24
ürəyinə	24
axırıncı	24
dəyişib	24
qocaya	24
imarətə	24
murad	24
sabaha	24
qəm	24
yatan	24
bihuş	24
odunu	24
qalmaqda	24
yatır	24
götürüp	24
dərmanı	24
dərdin	24
verəcəyəm	24
yeyən	24
arvada	24
gözləyir	24
dalıncan	24
gedərik	24
soruşur	24
olurdu	24
ürəyini	24
otağın	24
ağladı	24
ilana	24
anasını	24
məmmədin	24
stanbul	24
zülmət	24
valah	24
işıqlı	24
ku	24
alam	23
yığılıb	23
təmiz	23
tikə	23
töküldü	23
devə	23
hanı	23
hindistan	23
hərgah	23
heyran	23
inanıb	23
səbəbini	23
qızların	23
xanımla	23
padşahnan	23
tikib	23
bazardan	23
gəlməyə	23
gələrsən	23
itələyib	23
gördüyün	23
vursun	23
kəsə	23
bizdən	23
istədilər	23
dərin	23
saxlaya	23
otaqda	23
padşahına	23
ipək	23
xanımnan	23
axırı	23
dəllək	23
deyəndə	23
rəm	23
göyçək	23
qaçır	23
qərib	23
yalvarmağa	23
gurultu	23
gedirlər	23
qoyunun	23
baxan	23
ayrıldı	23
həyətə	23
padşahlıq	23
suda	23
durdular	23
yetim	23
nardan	23
ərinə	23
nişan	23
örtülü	23
dili	23
hüseyn	23
lala	23
qarış	23
ayaqdan	23
dağının	23
yalandan	22
gətirdim	22
bacım	22
yüyürüb	22
toya	22
gedirik	22
eləyəcək	22
əlli	22
əşi	22
üzü	22
padişaha	22
danış	22
tapdılar	22
tuluq	22
alsın	22
verirlər	22
xilas	22
afərin	22
üstü	22
danışıb	22
ayıldı	22
çıxart	22
kəndiri	22
yaşıl	22
gördün	22
ağlına	22
yuxunu	22
dəryadan	22
sahib	22
evində	22
sözündən	22
oğludu	22
pəhləvanın	22
qalaça	22
ucu	22
qorxuram	22
qulluq	22
keyf	22
anamın	22
yazıb	22
gethaget	22
xaraba	22
əyilib	22
burax	22
hava	22
görərsən	22
dalından	22
kasıb	22
bildim	22
bılların	22
gəzir	22
bulağa	22
təkcə	22
qapıları	22
keçinin	22
işləri	22
düşdüm	22
qəsdən	22
edirlər	22
yun	22
günəş	22
haxnəzər	22
kərpici	22
quşunun	22
darğanın	22
yasəmən	22
yatıbdı	21
gündü	21
ov	21
güldü	21
qucaqlayıb	21
işlər	21
qoyaq	21
camaatı	21
olmuş	21
yarım	21
qoşulub	21
tökülüb	21
aparsın	21
əvinə	21
düyü	21
gətirən	21
bağ	21
çağırdılar	21
söhbətə	21
böyüyüb	21
canına	21
öküz	21
bəni-insan	21
ip	21
yəni	21
etdilər	21
oğlanları	21
quşlar	21
olduğu	21
vermək	21
denən	21
siçan	21
arşın	21
sözə	21
keşik	21
evini	21
ertəsi	21
qızla	21
vəzirini	21
aşpaz	21
öldürmə	21
gücü	21
satıb	21
səndə	21
şüşəni	21
əyləşdi	21
axtarıb	21
hardadı	21
eləmişdi	21
şikara	21
buraxıb	21
gizlənib	21
olmuşam	21
gözəldi	21
qabağıma	21
oğurlayıb	21
qılınca	21
gəlirsən	21
sandığın	21
çıxar	21
dayan	21
cütçü	21
kişmiş	21
bəxtiyarı	21
qızdar	21
oxumağa	21
uzanıb	21
yanımda	21
cırtdan	21
iti	21
anam	21
vəzirlə	21
gözündən	21
bacısının	21
dərisini	21
istəyən	21
dərzi	21
tükü	21
eləyəndən	21
qanlı	21
qardaşlarının	21
əsa	21
xurşid	21
məndə	20
buradan	20
tülkünün	20
guya	20
qurtaran	20
vurur	20
keçəndən	20
qabağını	20
bölüb	20
özümün	20
çoxdu	20
abbası	20
baxır	20
şəftən	20
qarnı	20
edim	20
sağ-salamat	20
üçünü	20
lazımdır	20
gətirdiyi	20
mənzilinə	20
alnından	20
eləmişəm	20
sözdən	20
salar	20
karvan	20
imarəti	20
mağaranın	20
gələrəm	20
getdikdən	20
yetirdilər	20
ağlayırsan	20
qardaşını	20
tədarükü	20
nağıllarda	20
qızıdı	20
kəsildi	20
bıçaq	20
şadlıq	20
bilmək	20
imarətin	20
qızıyam	20
idim	20
təyin	20
iç	20
bilsə	20
oxuyur	20
camalına	20
qucaqlaşıb	20
başlandı	20
qalxızıb	20
bunnan	20
qoşununu	20
bihuşdarı	20
hərəsinə	20
vura	20
gəlirəm	20
altdan	20
alasan	20
ananın	20
ilanlar	20
hündür	20
idilər	20
hamısının	20
xalçanın	20
çobanın	20
sazım	20
doludu	20
dəyirmançı	20
dərib	20
meymun	20
əlimdə	20
dağda	20
xeyir	20
quyruğunu	20
paltarlarını	20
sözüm	20
oğlanlarını	20
şükür	20
kosa	20
lyasın	20
uşağ	20
gülüstani-baği-i	20
ölürəm	19
qurdu	19
qanı	19
yatmışdı	19
qabaqca	19
görün	19
təpə	19
çadır	19
qabaqda	19
həftə	19
çıxırdı	19
çöldə	19
gətirər	19
görüşdülər	19
qəni	19
öyrənib	19
görmək	19
nazənin	19
aparmağa	19
keçirdilər	19
atalarının	19
növbə	19
ölümə	19
buralarda	19
səsini	19
bilməsən	19
içmə	19
naəlac	19
başımı	19
kül	19
çıxma	19
bağladılar	19
abbasa	19
döşünə	19
razıyam	19
rədd	19
doldurdu	19
daşdan	19
gəlif	19
sürməyə	19
vəsiyyət	19
qəsidə	19
yatmaq	19
neyləyim	19
gecəynən	19
xörəyini	19
yan	19
oğluyam	19
torpağa	19
boğazından	19
əllərini	19
desin	19
sol	19
eləyəsən	19
löh	19
boynu	19
yığışıb	19
qarpız	19
düş	19
qalxan	19
çıxmaz	19
başladım	19
əvəzində	19
görəm	19
yetmiş	19
edirdi	19
gətirip	19
dünyadan	19
kefi	19
araya	19
eybi	19
enib	19
xəlvət	19
çaydan	19
lotular	19
fikrinə	19
buynuzu	19
fatmanın	19
malı	19
bılar	19
çıxdım	19
qardaşların	19
tapmadı	19
yaş	19
yaşı	19
öldürdüm	19
çalıb	19
